date;species;X;Y;n
2010-06-04;Merlangius merlangus;22714.57351377228;414292.8927329164;1
2010-06-10;Merlangius merlangus;35865.31871556115;406821.3865335777;2
2010-06-10;Merlangius merlangus;36233.74995005017;408290.6651105364;3
2010-08-02;Merlangius merlangus;54995.62496146365;433350.4318946129;6
2010-08-02;Merlangius merlangus;56265.67095765364;435375.0700503313;9
2010-08-02;Merlangius merlangus;56985.4034393889;433386.7413152752;16
2010-08-02;Merlangius merlangus;57870.48874080427;430194.58430680586;8
2010-08-03;Merlangius merlangus;47023.60125982262;438123.48172279657;9
2010-08-03;Merlangius merlangus;50350.514955089486;437326.0117495628;9
2010-08-03;Merlangius merlangus;52063.01918477558;433087.15927067114;7
2010-08-03;Merlangius merlangus;52705.70741976895;432651.0959291818;10
2010-08-04;Merlangius merlangus;56141.63550192406;429544.0132677823;11
2010-08-04;Merlangius merlangus;57865.1271488487;430166.86760440905;11
2010-08-05;Merlangius merlangus;41401.934463891084;428923.9377149714;1
2010-08-05;Merlangius merlangus;43955.05864675189;430392.5043712674;1
2010-08-05;Merlangius merlangus;48177.99946706307;429915.6029634232;3
2010-08-05;Merlangius merlangus;53371.3161472143;436084.0611670359;11
2010-08-05;Merlangius merlangus;53388.327966215904;435057.658378515;17
2010-08-05;Merlangius merlangus;53686.580048120464;430333.1066940408;16
2010-08-06;Merlangius merlangus;42306.75198670158;424363.9207990289;1
2010-08-06;Merlangius merlangus;45667.34080547327;426422.9696564073;4
2010-08-06;Merlangius merlangus;50210.68778187943;428304.6351202359;8
2010-08-06;Merlangius merlangus;53352.87342109237;429850.2126350936;6
2010-08-06;Merlangius merlangus;55139.09934279138;428938.4800846794;1
2010-08-09;Merlangius merlangus;36244.61480595621;421486.5556846428;2
2010-08-09;Merlangius merlangus;42285.27869099406;427705.3755175912;1
2010-08-09;Merlangius merlangus;44626.07156395973;429347.12195541384;1
2010-08-09;Merlangius merlangus;46737.97133036946;431151.7818600904;4
