FID;date;species;n;X;Y
109;5-9-2007 0:00:00;Clupea harengus;1;36311.000000000000000;426098.000000000000000
110;6-9-2007 0:00:00;Clupea harengus;4;19276.400000000001000;406196.000000000000000
111;6-9-2007 0:00:00;Clupea harengus;5;21730.599999999999000;402838.000000000000000
112;6-9-2007 0:00:00;Clupea harengus;3;25243.099999999999000;406616.000000000000000
113;6-9-2007 0:00:00;Clupea harengus;5;26610.500000000000000;409720.000000000000000
114;6-9-2007 0:00:00;Clupea harengus;4;28273.099999999999000;407212.000000000000000
115;6-9-2007 0:00:00;Clupea harengus;11;34145.800000000003000;407168.000000000000000
116;7-9-2007 0:00:00;Clupea harengus;4;26416.500000000000000;410577.000000000000000
117;7-9-2007 0:00:00;Clupea harengus;7;27830.200000000001000;411091.000000000000000
118;7-9-2007 0:00:00;Clupea harengus;7;35613.699999999997000;406667.000000000000000
119;7-9-2007 0:00:00;Clupea harengus;8;36296.699999999997000;408022.000000000000000
120;13-5-2009 0:00:00;Clupea harengus;4;53675.800000000003000;430313.000000000000000
121;13-5-2009 0:00:00;Clupea harengus;7;57845.800000000003000;430342.000000000000000
122;14-5-2009 0:00:00;Clupea harengus;3;50227.000000000000000;428360.000000000000000
123;14-5-2009 0:00:00;Clupea harengus;5;54660.699999999997000;434128.000000000000000
124;14-5-2009 0:00:00;Clupea harengus;5;55037.699999999997000;433389.000000000000000
125;14-5-2009 0:00:00;Clupea harengus;12;55153.099999999999000;428948.000000000000000
126;14-5-2009 0:00:00;Clupea harengus;17;56118.500000000000000;429522.000000000000000
127;14-5-2009 0:00:00;Clupea harengus;5;56975.300000000003000;433400.000000000000000
128;15-5-2009 0:00:00;Clupea harengus;4;43966.500000000000000;422376.000000000000000
129;15-5-2009 0:00:00;Clupea harengus;12;45642.000000000000000;426401.000000000000000
130;15-5-2009 0:00:00;Clupea harengus;1;48223.000000000000000;429926.000000000000000
131;19-5-2009 0:00:00;Clupea harengus;7;42288.500000000000000;427696.000000000000000
132;19-5-2009 0:00:00;Clupea harengus;3;59960.400000000001000;434569.000000000000000
133;20-5-2009 0:00:00;Clupea harengus;2;32609.000000000000000;417145.000000000000000
134;20-5-2009 0:00:00;Clupea harengus;3;32971.099999999999000;419877.000000000000000
135;28-5-2009 0:00:00;Clupea harengus;3;25281.900000000001000;410355.000000000000000
136;28-5-2009 0:00:00;Clupea harengus;6;25364.700000000001000;408434.000000000000000
137;28-5-2009 0:00:00;Clupea harengus;7;26560.900000000001000;410679.000000000000000
138;28-5-2009 0:00:00;Clupea harengus;2;28104.700000000001000;407292.000000000000000
139;28-5-2009 0:00:00;Clupea harengus;1;35847.099999999999000;406783.000000000000000
140;29-5-2009 0:00:00;Clupea harengus;2;19157.400000000001000;406975.000000000000000
141;29-5-2009 0:00:00;Clupea harengus;9;21545.500000000000000;405166.000000000000000
